        Layer (type)               Output Shape          Params           FLOPs           Madds
         ZeroPad2d-1          [1, 3, 737, 1281]               0               0               0
       BatchNorm2d-2          [1, 32, 368, 640]              64       7,536,640      30,146,560
MemoryEfficientSwish-3          [1, 32, 368, 640]               0               0               0
         ZeroPad2d-4          [1, 32, 370, 642]               0               0               0
       BatchNorm2d-5          [1, 32, 368, 640]              64       7,536,640      30,146,560
MemoryEfficientSwish-6          [1, 32, 368, 640]               0               0               0
          Identity-7              [1, 32, 1, 1]               0               0               0
MemoryEfficientSwish-8               [1, 8, 1, 1]               0               0               0
          Identity-9               [1, 8, 1, 1]               0               0               0
         Identity-10          [1, 32, 368, 640]               0               0               0
      BatchNorm2d-11          [1, 16, 368, 640]              32       3,768,320      15,073,280
         Identity-12          [1, 16, 368, 640]               0               0               0
      BatchNorm2d-13          [1, 96, 368, 640]             192      22,609,920      90,439,680
MemoryEfficientSwish-14          [1, 96, 368, 640]               0               0               0
        ZeroPad2d-15          [1, 96, 369, 641]               0               0               0
      BatchNorm2d-16          [1, 96, 184, 320]             192       5,652,480      22,609,920
MemoryEfficientSwish-17          [1, 96, 184, 320]               0               0               0
         Identity-18              [1, 96, 1, 1]               0               0               0
MemoryEfficientSwish-19               [1, 4, 1, 1]               0               0               0
         Identity-20               [1, 4, 1, 1]               0               0               0
         Identity-21          [1, 96, 184, 320]               0               0               0
      BatchNorm2d-22          [1, 24, 184, 320]              48       1,413,120       5,652,480
         Identity-23          [1, 24, 184, 320]               0               0               0
      BatchNorm2d-24         [1, 144, 184, 320]             288       8,478,720      33,914,880
MemoryEfficientSwish-25         [1, 144, 184, 320]               0               0               0
        ZeroPad2d-26         [1, 144, 186, 322]               0               0               0
      BatchNorm2d-27         [1, 144, 184, 320]             288       8,478,720      33,914,880
MemoryEfficientSwish-28         [1, 144, 184, 320]               0               0               0
         Identity-29             [1, 144, 1, 1]               0               0               0
MemoryEfficientSwish-30               [1, 6, 1, 1]               0               0               0
         Identity-31               [1, 6, 1, 1]               0               0               0
         Identity-32         [1, 144, 184, 320]               0               0               0
